Date,M2 Velocity
1986-08-18,1.7498804347826087
1986-08-19,1.7496739130434784
1986-08-20,1.749467391304348
1986-08-21,1.7492608695652174
1986-08-22,1.749054347826087
1986-08-25,1.7484347826086957
1986-08-26,1.7482282608695652
1986-08-27,1.748021739130435
1986-08-28,1.7478152173913044
1986-08-29,1.747608695652174
1986-09-01,1.7469891304347827
1986-09-02,1.7467826086956522
1986-09-03,1.746576086956522
1986-09-04,1.7463695652173914
1986-09-05,1.746163043478261
1986-09-08,1.7455434782608696
1986-09-09,1.7453369565217391
1986-09-10,1.7451304347826089
1986-09-11,1.7449239130434784
1986-09-12,1.7447173913043479
1986-09-15,1.7440978260869566
1986-09-16,1.7438913043478261
1986-09-17,1.7436847826086956
1986-09-18,1.7434782608695654
1986-09-19,1.7432717391304349
1986-09-22,1.7426521739130436
1986-09-23,1.7424456521739131
1986-09-24,1.7422391304347826
1986-09-25,1.7420326086956524
1986-09-26,1.7418260869565219
1986-09-29,1.7412065217391306
1986-09-30,1.741
1986-10-01,1.7407826086956524
1986-10-02,1.7405652173913044
1986-10-03,1.7403478260869567
1986-10-06,1.739695652173913
1986-10-07,1.7394782608695654
1986-10-08,1.7392608695652174
1986-10-09,1.7390434782608697
1986-10-10,1.7388260869565217
1986-10-13,1.7381739130434783
1986-10-14,1.7379565217391306
1986-10-15,1.7377391304347827
1986-10-16,1.737521739130435
1986-10-17,1.737304347826087
1986-10-20,1.7366521739130436
1986-10-21,1.7364347826086957
1986-10-22,1.736217391304348
1986-10-23,1.7360000000000002
1986-10-24,1.7357826086956523
1986-10-27,1.7351304347826089
1986-10-28,1.734913043478261
1986-10-29,1.7346956521739132
1986-10-30,1.7344782608695652
1986-10-31,1.7342608695652175
1986-11-03,1.733608695652174
1986-11-04,1.7333913043478262
1986-11-05,1.7331739130434785
1986-11-06,1.7329565217391305
1986-11-07,1.7327391304347828
1986-11-10,1.7320869565217392
1986-11-11,1.7318695652173914
1986-11-12,1.7316521739130435
1986-11-13,1.7314347826086958
1986-11-14,1.7312173913043478
1986-11-17,1.7305652173913044
1986-11-18,1.7303478260869567
1986-11-19,1.7301304347826088
1986-11-20,1.729913043478261
1986-11-21,1.729695652173913
1986-11-24,1.7290434782608697
1986-11-25,1.7288260869565217
1986-11-26,1.728608695652174
1986-11-27,1.7283913043478263
1986-11-28,1.7281739130434783
1986-12-01,1.727521739130435
1986-12-02,1.727304347826087
1986-12-03,1.7270869565217393
1986-12-04,1.7268695652173913
1986-12-05,1.7266521739130436
1986-12-08,1.7260000000000002
1986-12-09,1.7257826086956523
1986-12-10,1.7255652173913045
1986-12-11,1.7253478260869566
1986-12-12,1.7251304347826089
1986-12-15,1.7244782608695652
1986-12-16,1.7242608695652175
1986-12-17,1.7240434782608696
1986-12-18,1.7238260869565218
1986-12-19,1.723608695652174
1986-12-22,1.7229565217391305
1986-12-23,1.7227391304347828
1986-12-24,1.7225217391304348
1986-12-25,1.722304347826087
1986-12-26,1.7220869565217392
1986-12-29,1.7214347826086958
1986-12-30,1.7212173913043478
1986-12-31,1.721
1987-01-01,1.7209666666666668
1987-01-02,1.7209333333333334
1987-01-05,1.7208333333333334
1987-01-06,1.7208
1987-01-07,1.7207666666666668
1987-01-08,1.7207333333333334
1987-01-09,1.7207000000000001
1987-01-12,1.7206000000000001
1987-01-13,1.7205666666666668
1987-01-14,1.7205333333333335
1987-01-15,1.7205000000000001
1987-01-16,1.7204666666666668
1987-01-19,1.7203666666666668
1987-01-20,1.7203333333333335
1987-01-21,1.7203000000000002
1987-01-22,1.7202666666666668
1987-01-23,1.7202333333333333
1987-01-26,1.7201333333333333
1987-01-27,1.7201
1987-01-28,1.7200666666666666
1987-01-29,1.7200333333333333
1987-01-30,1.72
1987-02-02,1.7199
1987-02-03,1.7198666666666667
1987-02-04,1.7198333333333333
1987-02-05,1.7198
1987-02-06,1.7197666666666667
1987-02-09,1.7196666666666667
1987-02-10,1.7196333333333333
1987-02-11,1.7196
1987-02-12,1.7195666666666667
1987-02-13,1.7195333333333334
1987-02-16,1.7194333333333334
1987-02-17,1.7194
1987-02-18,1.7193666666666667
1987-02-19,1.7193333333333334
1987-02-20,1.7193
1987-02-23,1.7192
1987-02-24,1.7191666666666667
1987-02-25,1.7191333333333334
1987-02-26,1.7191
1987-02-27,1.7190666666666667
1987-03-02,1.7189666666666668
1987-03-03,1.7189333333333334
1987-03-04,1.7189
1987-03-05,1.7188666666666668
1987-03-06,1.7188333333333334
1987-03-09,1.7187333333333332
1987-03-10,1.7187
1987-03-11,1.7186666666666666
1987-03-12,1.7186333333333332
1987-03-13,1.7186
1987-03-16,1.7185
1987-03-17,1.7184666666666666
1987-03-18,1.7184333333333333
1987-03-19,1.7184
1987-03-20,1.7183666666666666
1987-03-23,1.7182666666666666
1987-03-24,1.7182333333333333
1987-03-25,1.7182
1987-03-26,1.7181666666666666
1987-03-27,1.7181333333333333
1987-03-30,1.7180333333333333
1987-03-31,1.718
1987-04-01,1.718175824175824
1987-04-02,1.7183516483516483
1987-04-03,1.7185274725274724
1987-04-06,1.719054945054945
1987-04-07,1.7192307692307691
1987-04-08,1.7194065934065934
1987-04-09,1.7195824175824175
