Date,US_CPI_LEVEL
1992-10-05,135.3852380952381
1992-10-06,135.72285714285715
1992-10-07,136.0604761904762
1992-10-08,136.39809523809524
1992-10-09,136.7357142857143
1992-10-12,137.07333333333335
1992-10-13,137.41095238095238
1992-10-14,137.74857142857144
1992-10-15,138.0861904761905
1992-10-16,138.42380952380952
1992-10-19,138.76142857142858
1992-10-20,139.09904761904764
1992-10-21,139.43666666666667
1992-10-22,139.77428571428572
1992-10-23,140.11190476190478
1992-10-26,140.4495238095238
1992-10-27,140.78714285714287
1992-10-28,141.12476190476193
1992-10-29,141.46238095238095
1992-10-30,141.8
1992-11-02,134.9
1992-11-03,135.255
1992-11-04,135.61
1992-11-05,135.965
1992-11-06,136.32
1992-11-09,136.675
1992-11-10,137.03
1992-11-11,137.385
1992-11-12,137.74
1992-11-13,138.095
1992-11-16,138.45
1992-11-17,138.805
1992-11-18,139.16
1992-11-19,139.51500000000001
1992-11-20,139.87
1992-11-23,140.225
1992-11-24,140.58
1992-11-25,140.935
1992-11-26,141.29
1992-11-27,141.645
1992-11-30,142.0
1992-12-01,134.805
1992-12-02,135.1275
1992-12-03,135.45000000000002
1992-12-04,135.7725
1992-12-07,136.095
1992-12-08,136.41750000000002
1992-12-09,136.74
1992-12-10,137.0625
1992-12-11,137.38500000000002
1992-12-14,137.7075
1992-12-15,138.03
1992-12-16,138.35250000000002
1992-12-17,138.675
1992-12-18,138.9975
1992-12-21,139.32
1992-12-22,139.6425
1992-12-23,139.965
1992-12-24,140.2875
1992-12-25,140.61
1992-12-28,140.9325
1992-12-29,141.255
1992-12-30,141.57750000000001
1992-12-31,141.9
1993-01-01,135.47
1993-01-04,135.8265
1993-01-05,136.183
1993-01-06,136.5395
1993-01-07,136.896
1993-01-08,137.2525
1993-01-11,137.609
1993-01-12,137.9655
1993-01-13,138.322
1993-01-14,138.67849999999999
1993-01-15,139.035
1993-01-18,139.3915
1993-01-19,139.748
1993-01-20,140.1045
1993-01-21,140.46099999999998
1993-01-22,140.8175
1993-01-25,141.174
1993-01-26,141.5305
1993-01-27,141.887
1993-01-28,142.24349999999998
1993-01-29,142.6
1993-02-01,135.945
1993-02-02,136.3215789473684
1993-02-03,136.69815789473682
1993-02-04,137.07473684210527
