Date,US_CPI_DAILY_INTERP
2020-09-25,260.2196666666666
2020-09-28,260.25586666666663
2020-09-29,260.2679333333333
2020-09-30,260.28
2020-10-01,260.2836
2020-10-02,260.2872
2020-10-05,260.298
2020-10-06,260.30159999999995
2020-10-07,260.30519999999996
2020-10-08,260.30879999999996
2020-10-09,260.31239999999997
2020-10-12,260.3232
2020-10-13,260.3268
2020-10-14,260.3304
2020-10-15,260.334
2020-10-16,260.33759999999995
2020-10-19,260.34839999999997
2020-10-20,260.352
2020-10-21,260.3556
2020-10-22,260.3592
2020-10-23,260.3628
2020-10-26,260.37359999999995
2020-10-27,260.37719999999996
2020-10-28,260.38079999999997
2020-10-29,260.38439999999997
2020-10-30,260.388
2020-11-02,260.3726129032258
2020-11-03,260.3674838709677
2020-11-04,260.3623548387097
2020-11-05,260.3572258064516
2020-11-06,260.3520967741935
2020-11-09,260.3367096774193
2020-11-10,260.3315806451613
2020-11-11,260.3264516129032
2020-11-12,260.32132258064513
2020-11-13,260.3161935483871
2020-11-16,260.30080645161286
2020-11-17,260.29567741935483
2020-11-18,260.29054838709675
2020-11-19,260.28541935483867
2020-11-20,260.28029032258064
2020-11-23,260.26490322580645
2020-11-24,260.25977419354837
2020-11-25,260.2546451612903
2020-11-26,260.24951612903226
2020-11-27,260.2443870967742
2020-11-30,260.229
2020-12-01,260.23690322580643
2020-12-02,260.2448064516129
2020-12-03,260.2527096774193
2020-12-04,260.2606129032258
2020-12-07,260.28432258064515
2020-12-08,260.2922258064516
2020-12-09,260.30012903225804
2020-12-10,260.3080322580645
2020-12-11,260.31593548387093
2020-12-14,260.3396451612903
2020-12-15,260.34754838709677
2020-12-16,260.3554516129032
2020-12-17,260.36335483870965
2020-12-18,260.3712580645161
2020-12-21,260.3949677419355
2020-12-22,260.40287096774193
2020-12-23,260.4107741935484
2020-12-24,260.4186774193548
2020-12-25,260.42658064516127
2020-12-28,260.45029032258066
2020-12-29,260.4581935483871
2020-12-30,260.46609677419355
2020-12-31,260.474
2021-01-01,260.51220689655173
2021-01-04,260.6268275862069
2021-01-05,260.6650344827586
2021-01-06,260.7032413793103
2021-01-07,260.74144827586207
2021-01-08,260.7796551724138
2021-01-11,260.894275862069
2021-01-12,260.93248275862067
2021-01-13,260.9706896551724
2021-01-14,261.00889655172415
2021-01-15,261.04710344827583
2021-01-18,261.161724137931
2021-01-19,261.19993103448274
2021-01-20,261.2381379310345
2021-01-21,261.2763448275862
2021-01-22,261.3145517241379
2021-01-25,261.4291724137931
2021-01-26,261.4673793103448
2021-01-27,261.50558620689657
2021-01-28,261.54379310344825
2021-01-29,261.582
2021-02-01,261.73542857142854
2021-02-02,261.78657142857145
2021-02-03,261.8377142857143
2021-02-04,261.88885714285715
2021-02-05,261.94
2021-02-08,262.09342857142855
2021-02-09,262.14457142857145
2021-02-10,262.1957142857143
2021-02-11,262.24685714285715
2021-02-12,262.298
2021-02-15,262.45142857142855
2021-02-16,262.50257142857146
2021-02-17,262.5537142857143
2021-02-18,262.60485714285716
2021-02-19,262.656
2021-02-22,262.80942857142855
2021-02-23,262.86057142857146
2021-02-24,262.9117142857143
2021-02-25,262.96285714285716
2021-02-26,263.014
2021-03-01,263.18336363636365
2021-03-02,263.2398181818182
2021-03-03,263.29627272727276
2021-03-04,263.3527272727273
2021-03-05,263.4091818181818
2021-03-08,263.57854545454546
2021-03-09,263.635
2021-03-10,263.6914545454546
2021-03-11,263.7479090909091
2021-03-12,263.80436363636363
2021-03-15,263.9737272727273
2021-03-16,264.0301818181818
2021-03-17,264.0866363636364
2021-03-18,264.1430909090909
2021-03-19,264.19954545454544
2021-03-22,264.3689090909091
2021-03-23,264.42536363636367
2021-03-24,264.4818181818182
2021-03-25,264.5382727272727
2021-03-26,264.59472727272725
2021-03-29,264.7640909090909
2021-03-30,264.8205454545455
2021-03-31,264.877
2021-04-01,264.94956666666667
2021-04-02,265.02213333333333
