Date,GPRI
1946-09-06,129.30292383829752
1946-09-09,127.59263102213542
1946-09-10,127.02253341674805
1946-09-11,126.45243581136067
1946-09-12,125.88233820597331
1946-09-13,125.31224060058594
1946-09-16,123.60194778442383
1946-09-17,123.03185017903645
1946-09-18,122.4617525736491
1946-09-19,121.89165496826172
1946-09-20,121.32155736287434
1946-09-23,119.61126454671223
1946-09-24,119.04116694132487
1946-09-25,118.4710693359375
1946-09-26,117.90097173055013
1946-09-27,117.33087412516277
1946-09-30,115.62058130900066
1946-10-01,115.05048370361328
1946-10-02,114.7028094876197
1946-10-03,114.35513527162614
1946-10-04,114.00746105563256
1946-10-07,112.96443840765184
1946-10-08,112.61676419165826
1946-10-09,112.2690899756647
1946-10-10,111.92141575967112
1946-10-11,111.57374154367754
1946-10-14,110.53071889569682
1946-10-15,110.18304467970326
1946-10-16,109.83537046370968
1946-10-17,109.4876962477161
1946-10-18,109.14002203172252
1946-10-21,108.0969993837418
1946-10-22,107.74932516774824
1946-10-23,107.40165095175466
1946-10-24,107.05397673576108
1946-10-25,106.70630251976752
1946-10-28,105.6632798717868
1946-10-29,105.31560565579322
1946-10-30,104.96793143979964
1946-10-31,104.62025722380608
1946-11-01,104.2725830078125
1946-11-04,104.8000114440918
1946-11-05,104.97582092285157
1946-11-06,105.15163040161133
1946-11-07,105.32743988037109
1946-11-08,105.50324935913086
1946-11-11,106.03067779541016
1946-11-12,106.20648727416992
1946-11-13,106.38229675292969
1946-11-14,106.55810623168945
1946-11-15,106.73391571044922
1946-11-18,107.26134414672852
1946-11-19,107.43715362548828
1946-11-20,107.61296310424805
1946-11-21,107.78877258300781
1946-11-22,107.96458206176757
1946-11-25,108.49201049804688
1946-11-26,108.66781997680664
1946-11-27,108.8436294555664
1946-11-28,109.01943893432617
1946-11-29,109.19524841308593
1946-12-02,109.31838915424962
1946-12-03,109.08991093789378
1946-12-04,108.86143272153792
1946-12-05,108.63295450518208
1946-12-06,108.40447628882623
1946-12-09,107.7190416397587
1946-12-10,107.49056342340285
1946-12-11,107.26208520704701
